field	value
policy_id	ploidypatch_maize_homeolog_zero_retuning_v0.2
frozen_at	2026-08-07
model_code_commit	43d748b
protocol_commit	f16b822
development_species	Glycine_max,Brassica_napus
post_development_diagnostic_species	Gossypium_hirsutum
external_test_species	Zea_mays_B73_NAM5
external_reference_species	Sorghum_bicolor_NCBIv3,Setaria_italica_v2
model_schema_version	ploidypatch.homeolog_copy_ranker.v2
model_sha256	e8d0227628bc0688504f1132cca3cd1e418b87a6dbdff39705d35c9c8f933958
primary_estimator	topology
baseline_estimator	frozen_original_copy_feature_contract
estimator_family	logistic_regression_l2
estimator_C	1.0
calibration	none_rank_score_only
portable_threshold	none
automatic_copy_addition_approval	false
candidate_method_families	miniprot,gemoma,lifton
multiple_references_per_method_vote	one_method_family_vote
primary_candidate_policy	exact_phased_CDS_union_for_ranking
secondary_candidate_policy	exact_support_at_least_2_of_3_method_families
truth_pair_policy	two_outgroup_supported_reciprocal_unique_maize_WGD_pair
truth_pair_visibility	evaluator_only
truth_event_count	800_if_eligible_else_all_eligible_with_shortfall_reported
truth_sampler_seed	20260829
truth_removal_policy	remove_exactly_one_deterministically_selected_partner_per_pair
primary_metric	average_precision_topology_minus_frozen_baseline
primary_uncertainty	20000_replicate_chromosome_group_bootstrap_95pct_interval
primary_success_gate	delta_AP_gt_0_and_CI_lower_gt_0
secondary_review_budgets	top_0.5pct,top_1pct,top_2pct
topology_coverage_gate	at_least_70pct_of_hidden_positive_candidates
collateral_loss_gate	zero_baseline_transcript_structure_loss
paired_complete_annotation_control	required
no_op_and_oracle_sentinels	required
post_truth_change_policy	any_feature_model_threshold_reference_or_sampler_change_invalidates_formal_holdout_claim
